Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%)
"xAH4KdZuA1Q","Intro to Transfer Functions","2020-08-14 04:41:13",264,0:02:26,55.47
"9Eoor4RnTVE","Review: Partial Fractions Expansion","2020-08-13 10:26:41",215,0:02:28,68.64
"p7-ZduHd9pw","Converting State-Space Models to Transfer Functions","2020-08-13 07:47:57",418,0:03:55,56.23
"BZhE-wsrT_M","Converting ODEs to Transfer Functions","2020-08-13 03:27:58",117,0:01:25,73.07
"EPy5gLaZQjU","Linear State-Space (Matrix) Form","2020-08-11 07:59:44",515,0:04:36,53.51
"CRRtEvU0vig","Summary: Linearisation and Equilibrium Points","2020-08-11 02:18:46",284,0:02:40,56.5
"wCX86S1tlKU","State Trajectories, Hartman and Grobman's Theorem","2020-08-10 23:19:04",133,0:01:25,63.9
"Sq3Kp2Se_GE","Linearisation about Equilibrium Points and NLS Stability","2020-08-10 04:12:50",286,0:02:29,52.07
"d3T_bD5_c7U","Equilibrium Points","2020-08-09 06:43:30",137,0:01:36,70.23
"kqLYifkNn0g","Linearisation (4/4): State-Space models with Inputs and Matrix Form","2020-08-09 05:52:29",193,0:01:54,59.08
"PBnAOXsika0","Linearisation (3/4): Input-less State-Space models","2020-08-07 04:43:44",155,0:01:49,70.03
"mqCdqQg3dKU","Linearisation (2/4): Multivariable linearisation","2020-08-05 09:12:34",101,0:01:13,72.2
"3sTThSkTxMQ","Linearisation (1/4): 1D Analogue","2020-08-04 05:50:15",248,0:03:05,74.63
"utYSmAbhpuM","Nonlinear Systems Intro/Motivations","2020-08-03 23:35:05",194,0:01:55,59.46
"dJrGo6rb5cM","Advanced Components in Fluid Power Systems (2/2): Hydraulic Pumps/Motors","2020-08-03 06:15:24",180,0:01:59,66.1
"Cb3mbo0iMkM","2020 Classes","2020-07-30 03:06:11",195,0:02:17,70.25
"IXug_xDPxdQ","Advanced Components in Fluid Power Systems (1/2): Pistons","2020-07-30 01:25:32",187,0:02:17,73.26
"jYC0ZWXZPOU","Basic Components in Fluid Power Systems (4/4): Gas Accumulators and Fluid Compressibility","2020-07-29 07:32:26",226,0:02:36,69.22
"d-dzoc3j8Xk","Basic Components in Fluid Power Systems (3/4): Resistances/Valves","2020-07-29 06:21:24",164,0:02:08,77.92
"JU7xZh_1kMA","Basic Components in Fluid Power Systems (2/4): Gravity Tanks","2020-07-29 00:51:43",174,0:02:15,77.46
"PDBK7QD2H8M","Intro/Choosing States for Fluid Power Systems","2020-07-28 08:20:22",277,0:02:40,57.73
"EPrZOaESIXI","Basic Components in Fluid Power Systems (1/4): Long Pipes (Fluid Inertia)","2020-07-28 08:12:39",199,0:02:30,75.31
"xNi7e0uXBzY","Basic Components in Electrical Systems (3/3): Resistors","2020-07-26 03:54:36",120,0:01:32,76.47
"sEE33_YIgys","Basic Components in Electrical Systems (2/3): Capacitors","2020-07-26 03:32:41",253,0:03:06,73.65
"tOK-3gow_fA","Basic Components in Electrical Systems (1/3): Inductors","2020-07-26 01:51:03",242,0:02:55,72.28
"X95pgcvB-eI","Externally Excited DC Motors","2020-07-25 07:10:04",137,0:01:33,67.91
"P6_iWVh4rws","DC Motors and Generators","2020-07-25 06:34:07",208,0:02:27,70.55
"vqbgCi6dm7A","SSRs for Electrical Systems: KVL and KCL","2020-07-25 05:17:04",219,0:02:40,72.84
"UxNJZpYj_PA","Intro/Choosing States for Electrical Systems","2020-07-25 03:28:31",241,0:02:29,61.86
"MX1Wy7dUI9s","Basic Components in RMS (2/3): Torsion Springs","2020-07-23 00:58:33",136,0:01:42,75.23
"QVlShh0pek8","The Big Picture (2/3): The Seven Fundamental Components","2020-07-22 03:13:09",424,0:04:16,60.26
"EMPtaXgf9fU","System Arrangements (2/3): Equivalent Systems","2020-07-21 23:23:15",141,0:01:42,72.61
"QXSRuGMJ35A","System Arrangements (1/3): Series and Parallel Components","2020-07-21 09:27:41",172,0:02:02,70.96
"fJxdriXPDtI","Gearboxes","2020-07-21 08:26:48",258,0:03:06,72.22
"PWkr63T-gCY","Basic Components in RMS (3/3): Frictions","2020-07-20 07:10:01",193,0:02:23,73.98
"-2lWMIpLLOY","Basic Components in RMS (1/3): Inertias (AKA Rotating Masses)","2020-07-20 05:09:55",263,0:03:07,71.2
"YMq_P2jE684","Introduction/Choosing States for Rotating Mechanical Systems","2020-07-20 04:13:20",181,0:01:45,58.2
"74xH0aAdq_w","The Big Picture (1/3): Power and Energy Variables","2020-07-15 05:10:49",287,0:03:14,67.56
"x4tQ-nIj3u0","System Representations and Intro to Block Diagrams","2020-07-15 01:33:56",181,0:02:02,67.42
"gHjxPhhRIJk","Basic Components in TMS (3/3): Friction/Dampers","2020-07-14 09:17:00",158,0:01:56,73.32
"-Rj6siMAaKo","Basic Components in TMS (2/3): Ideal Springs","2020-07-14 07:50:40",318,0:03:38,68.51
"ox2zlqA2wQk","Basic Components in TMS (1/3): Point Masses","2020-07-14 06:02:27",265,0:03:09,71.25
"7dSJVYxAf6s","Introduction/Choosing States for Translating Mechanical Systems","2020-07-13 06:10:36",223,0:02:35,69.31
