Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%)
"l60ktEyuXIQ","FRP Manufacture (2/5): FRP Production and Selection","2021-10-07 00:11:59",519,0:05:52,67.81
"nsnBsUlj-_I","FRP Manufacture (4/5): FRP Layup","2021-10-06 13:08:12",394,0:04:26,67.44
"W5CTGEj051E","FRP Manufacture (5/5): Embedded FRPs","2021-10-06 11:45:05",178,0:02:14,75.28
"0GPtRiEc5gY","FRP Manufacture (3/5): Form/Pattern Design and Manufacture","2021-10-06 11:27:59",401,0:04:38,69.38
"2PP_a-tDJAY","FRP Manufacture (1/5): Introduction","2021-10-06 11:21:49",178,0:02:13,74.48
"VPm23vOkp-U","Intrinsic Composite Formation","2021-10-06 11:13:35",243,0:02:57,72.8
"lTdv3rEQz5E","Manufacturing with Engineering Composites","2021-10-06 11:01:50",103,0:00:50,48.99
"HKSdW1aHM0w","Fibre-Reinforced Composites","2021-09-30 02:45:35",397,0:04:52,73.54
"6lS4rYzkNDg","Embedded (Microscopic) Composites","2021-09-28 12:46:24",323,0:03:56,73.13
"6vULH16v9FE","Macroscopic (Structural) Composites","2021-09-28 07:44:11",331,0:04:05,73.94
"5zEhEwfIJOk","Non Mechanical Properties of Engineering Composites","2021-09-28 05:07:30",341,0:04:10,73.43
"xFNNEYclvis","Mechanical Properties of Composites","2021-09-27 11:38:53",716,0:07:16,60.9
"26dBMUlaHJ8","Physics and Geometry of Engineering Composites","2021-09-27 01:55:18",256,0:03:01,70.57
"b_OFklZ5gzI","Introduction to Engineering Composites","2021-09-26 10:07:30",175,0:01:35,54.09
"PN-s3VTj85M","[Bonus Content] Case Study: Ceramic Synthesis","2021-09-03 07:03:19",836,0:07:05,50.89
"ePbaeTmXi9I","Thin Films and Embedded Ceramics","2021-09-03 02:54:52",294,0:03:42,75.57
"1ScOB8qlH5U","Single Crystal Growth","2021-09-03 01:56:19",251,0:03:15,77.66
"giahfgYn6CQ","Pressing, Firing and Sintering","2021-09-02 04:49:42",319,0:03:56,73.91
"stNOqGDYej4","Glass Casting, Forging and Blowing","2021-09-01 11:27:03",182,0:02:24,79.17
"SqXqqFs8o6Y","Machining Ceramics","2021-09-01 09:21:37",206,0:02:39,77.32
"m8vyaqOHSOs","Ceramic (Slip) Casting","2021-09-01 05:23:56",140,0:01:54,81.76
"49cMEc-fszo","The Big Picture (8/12): Edupack Learn: Other Resources in the Materials Database","2021-09-01 03:55:44",394,0:04:06,62.54
"iiAUwHWYNPw","Manufacturing with Engineering Ceramics","2021-08-31 08:18:44",68,0:00:35,51.47
"PnBtwiUWXtk","Glasses","2021-08-26 09:42:04",378,0:04:49,76.41
"7eRRQHbVccY","[Bonus Content] Advanced Ceramics","2021-08-26 09:22:24",692,0:06:53,59.75
"a_HtseEewXY","Non-Technical Ceramics","2021-08-26 04:55:34",422,0:05:16,74.88
"cpTQnXZF-Po","Technical Engineering Ceramics","2021-08-26 03:19:48",578,0:06:18,65.37
"Si9oIxskrtQ","The Big Picture (7/12): Temperature Dependence of Properties","2021-08-26 00:05:49",419,0:04:28,64.0
"SfWWA1DhifM","Non-Mechanical Properties of Engineering Ceramics","2021-08-24 12:30:04",370,0:04:29,72.81
"SKoHssz5FXA","Introduction to Engineering Ceramics","2021-08-24 09:25:37",158,0:01:18,49.32
"6Y24GJBtoi0","Mechanical Properties of Engineering Ceramics","2021-08-21 09:48:47",491,0:05:27,66.57
"LVgXCA5pkns","SLA 3D Printing","2021-08-18 11:38:36",365,0:04:27,73.08
"klFUk25F_DY","FDM 3D Printing","2021-08-18 09:57:41",800,0:07:55,59.41
"QI0Myi45MFo","Elastomers","2021-08-08 02:44:03",167,0:02:08,76.62
"QgvNlgWubKk","Thermosets","2021-08-07 05:57:54",392,0:04:49,73.85
"3yuubFyM09g","Casting and Molding","2021-08-04 08:45:11",437,0:04:45,65.18
"Bi9V5Yx8wbk","Plastic Extrusion","2021-08-03 23:28:21",139,0:01:54,81.77
"cs1k_62dA4k","Foam Expansion and Hot Wire Cutting","2021-08-03 22:40:48",183,0:02:28,81.04
"yytmPfR8Hr8","Thermoforming","2021-08-03 09:10:57",94,0:01:13,77.99
"o0qv42G_Enk","Thermoplastics (5/5): Polystyrene","2021-08-01 00:17:12",130,0:01:47,82.09
"R5GVD_tzt6A","Thermoplastics (4/5): PVC","2021-07-27 22:59:47",133,0:01:48,81.04
"v6EwT5TB6Ak","Thermoplastics (3/5): Polypropylene","2021-07-27 08:49:56",89,0:01:13,82.56
"w3Qy6r0rOVg","Thermoplastics (2/5): Polyethylene","2021-07-27 08:24:35",226,0:02:59,79.25
"DkRcrKDJ3f0","Thermoplastics (1/5): Intro","2021-07-27 00:29:56",185,0:02:25,78.13
"SXrXL8Bc9Gk","Non Mechanical Properties of Engineering Polymers","2021-07-25 06:59:43",551,0:06:04,66.13
"fKfHIl0QrtY","Mechanical Properties of Engineering Polymers","2021-07-25 02:38:30",447,0:05:02,67.47
"q2Hgxjv9Uxg","Physics and Chemistry of Engineering Polymers","2021-07-24 08:35:01",487,0:05:33,68.39
"U-lYJH3xS6A","Introduction to Engineering Polymers","2021-07-24 03:48:40",140,0:00:59,42.01
"av3PnE_3wWE","Machining","2021-07-14 09:01:44",382,0:04:48,75.31
"3WvmJN4Ft3w","Welding and Brazing","2021-07-14 07:41:37",743,0:08:36,69.4
"naLNdZ4pVaQ","Folding, Forming and Bending","2021-07-14 04:04:40",409,0:04:43,69.2
"XecidyghmdQ","Laser, Plasma and Waterjet Cutting","2021-07-13 09:27:02",490,0:05:52,71.78
"XDKGPwTxu1k","Casting and Forging","2021-07-13 05:37:46",449,0:04:51,64.78
"otCFPfAZqb0","Powder Metallurgy and Metal 3D Printing","2021-07-12 11:47:31",238,0:02:56,73.86
"Tr0AqoKIUjA","The Big Picture (4/12): Process Universe, and Manufacturing Constraints","2021-07-12 05:59:54",484,0:04:54,60.72
