video_id,duration_mins,wpm,word_count,scene_count,scene_change_rate,text_density,silence_rate,average_percentage_viewed
mock_video_001,24.54,122.9,3020,41,1.67,0.196,0.167,58.2
mock_video_002,18.24,123.4,2092,26,1.41,0.343,0.025,62.2
mock_video_003,24.85,182.7,4090,35,1.41,0.386,0.182,62.6
mock_video_004,15.87,137.9,2001,76,4.8,0.255,0.039,57.1
mock_video_005,30.58,189.4,6058,126,4.11,0.459,0.127,52.0
mock_video_006,30.05,191.1,5207,131,4.36,0.38,0.161,60.9
mock_video_007,12.61,153.3,1820,10,0.77,0.201,0.04,67.8
mock_video_008,16.74,144.1,2391,27,1.63,0.567,0.15,53.2
mock_video_009,10.96,203.8,2224,13,1.15,0.277,0.218,56.4
mock_video_010,30.44,209.2,5986,44,1.45,0.097,0.083,62.2
mock_video_011,12.12,228.4,2655,54,4.43,0.244,0.151,68.3
mock_video_012,13.68,148.4,2100,41,2.98,0.217,0.137,69.7
mock_video_013,17.58,145.2,2315,88,4.99,0.345,0.038,68.3
mock_video_014,28.97,168.5,4780,20,0.69,0.278,0.219,57.7
mock_video_015,34.16,219.0,7335,15,0.45,0.455,0.156,42.0
mock_video_016,9.24,170.0,1475,23,2.49,0.576,0.195,69.3
mock_video_017,20.52,140.5,2871,94,4.6,0.533,0.08,53.4
mock_video_018,28.11,182.0,4853,112,3.98,0.356,0.02,64.7
mock_video_019,6.56,226.8,1351,29,4.44,0.512,0.082,70.2
mock_video_020,8.48,175.9,1371,6,0.72,0.476,0.173,50.2
mock_video_021,19.78,183.2,3376,32,1.62,0.534,0.105,55.0
mock_video_022,11.83,155.8,1801,59,4.98,0.418,0.108,60.2
mock_video_023,9.51,145.8,1293,19,1.96,0.386,0.066,80.4
mock_video_024,12.64,224.1,2833,55,4.35,0.117,0.068,73.1
mock_video_025,12.21,135.2,1679,57,4.7,0.377,0.115,63.0
mock_video_026,8.81,169.6,1495,21,2.35,0.323,0.166,69.8
mock_video_027,34.54,131.3,4250,78,2.25,0.256,0.192,55.4
mock_video_028,18.23,152.0,2851,28,1.55,0.56,0.109,66.3
mock_video_029,21.96,125.8,2870,110,5.0,0.515,0.214,40.4
mock_video_030,20.08,144.6,3042,45,2.24,0.11,0.096,68.7
mock_video_031,13.69,210.2,3019,34,2.49,0.3,0.211,59.4
mock_video_032,10.49,154.1,1636,51,4.86,0.381,0.128,60.1
mock_video_033,7.66,187.2,1497,21,2.71,0.523,0.051,75.5
mock_video_034,23.26,197.6,4306,34,1.48,0.142,0.198,63.8
mock_video_035,23.24,191.2,4622,54,2.33,0.384,0.125,70.1
mock_video_036,12.92,165.5,2165,45,3.49,0.236,0.083,86.8
mock_video_037,8.1,172.7,1303,40,4.99,0.598,0.035,57.8
mock_video_038,31.55,221.1,7014,66,2.1,0.162,0.187,69.5
mock_video_039,23.74,233.5,5237,81,3.41,0.084,0.183,51.1
mock_video_040,9.89,133.3,1306,9,0.89,0.368,0.074,54.6
mock_video_041,26.81,143.4,3982,89,3.32,0.217,0.118,66.9
mock_video_042,18.28,151.8,2606,8,0.42,0.481,0.147,51.0
mock_video_043,27.5,183.4,5207,65,2.37,0.085,0.035,77.9
mock_video_044,30.2,187.0,5844,33,1.08,0.146,0.082,61.5
mock_video_045,29.09,219.0,5831,132,4.54,0.189,0.07,62.7
mock_video_046,17.78,191.4,3561,20,1.11,0.564,0.193,42.7
mock_video_047,29.51,221.4,6792,15,0.51,0.463,0.086,53.9
